time,x,y
15.133333,1012,479
15.166667,1010,485
15.200000,1009,492
15.233333,1008,499
15.266667,1007,507
15.300000,1006,514
15.333333,1005,521
15.366667,1004,528
15.400000,1003,535
15.433333,1002,543
15.466667,1001,550
15.500000,1001,558
15.533333,1000,566
15.566667,1000,566
15.600000,998,580
15.633333,997,588
15.666667,996,596
15.700000,996,604
15.733333,995,611
15.766667,994,617
15.800000,994,625
15.833333,993,632
15.866667,992,639
15.900000,992,646
15.933333,991,653
15.966667,991,659
16.000000,991,665
16.033333,991,665
16.066667,990,678
16.100000,990,678
16.133333,989,688
16.166667,989,688
16.200000,989,699
16.233333,988,703
16.266667,988,706
16.300000,988,710
16.333333,988,715
16.366667,988,718
16.400000,988,720
16.433333,988,723
16.466667,988,726
16.500000,988,729
16.533333,989,730
16.566667,989,730
16.600000,989,732
16.633333,989,732
16.666667,989,733
16.700000,989,733
16.733333,990,733
16.766667,990,733
16.800000,991,732
16.833333,991,730
16.866667,992,728
16.900000,992,726
16.933333,993,724
16.966667,993,720
17.000000,994,718
17.033333,994,714
17.066667,995,710
17.100000,996,706
17.133333,996,706
17.166667,998,697
17.200000,998,697
17.233333,999,686
17.266667,999,681
17.300000,1000,676
17.333333,1001,670
17.366667,1002,663
17.400000,1003,657
17.433333,1004,651
17.466667,1005,645
17.500000,1006,638
17.533333,1007,631
17.566667,1008,624
17.600000,1009,617
17.633333,1010,610
17.666667,1010,610
17.700000,1012,595
17.733333,1012,595
17.766667,1014,580
17.800000,1015,572
17.833333,1016,565
17.866667,1017,557
17.900000,1018,550
17.933333,1020,542
17.966667,1021,535
18.000000,1022,527
18.033333,1023,520
18.066667,1024,513
18.100000,1025,506
18.133333,1025,506
18.166667,1027,493
18.200000,1028,486
18.233333,1029,479
18.266667,1031,473
18.300000,1031,467
18.333333,1033,461
18.366667,1034,456
18.400000,1034,450
18.433333,1035,445
18.466667,1036,440
18.500000,1038,436
18.533333,1039,431
18.566667,1040,427
18.600000,1041,423
18.633333,1041,423
18.666667,1042,416
18.700000,1043,413
18.733333,1044,411
18.766667,1045,409
18.800000,1046,406
18.833333,1047,405
18.866667,1048,404
